;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;winbond
W25X80V,     0xEF3014, 0x800000,   0x1000, 0x20, 64, 0
MX25L6436E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6445E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6455E,   0xC22617,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6473E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6475E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6450F,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L12805D,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12835E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12836E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12845E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12855E,  0xC22618,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12865E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12835F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12873F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12875F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L25635E,  0xC22019, 0x10000000,  0x1000,  0x20, 64, 0
MX25L25735E,  0xC22019, 0x10000000,  0x1000,  0x20, 64, 0
MX25L25635F,  0xC22019, 0x10000000,  0x1000,  0x20, 64, 0

;micron
M25PE10,     0x208011, 0x100000,   0x1000, 0x20, 64, 0
M25PE20,     0x208012, 0x200000,   0x1000, 0x20, 64, 0
M25PE40,     0x208013, 0x400000,   0x1000, 0x20, 64, 0
M25PE80,     0x208014, 0x800000,   0x1000, 0x20, 64, 0
M25PE16,     0x208015, 0x1000000,  0x1000, 0x20, 64, 0
M25PX80,     0x207114, 0x800000,   0x1000, 0x20, 64, 0
M25PX16,     0x207115, 0x1000000,  0x1000, 0x20, 64, 0
M25PX32,     0x207116, 0x2000000,  0x1000, 0x20, 64, 0
M25PX64,     0x207117, 0x4000000,  0x1000, 0x20, 64, 0
N25Q016,     0x20BA15, 0x1000000,  0x1000, 0x20, 64, 0
N25Q032,     0x20BA16, 0x2000000,  0x1000, 0x20, 64, 0
N25Q064,     0x20BA17, 0x4000000,  0x1000, 0x20, 64, 0
N25Q128,     0x20BA18, 0x8000000,  0x1000, 0x20, 64, 0
N25Q064A13ESE4MF, 0x20BA17, 0x4000000, 0x1000, 0x20, 64, 0
MT25QL128ABA1ESEMS, 0x20BA18, 0x8000000, 0x1000, 0x20, 64, 0
;other
AT26DF081,   0x1F4500, 0x800000,   0x1000, 0x20, 1, 0
AT26DF081A,  0x1F4501, 0x800000,   0x1000, 0x20, 64, 0
AT25DF081,   0x1F4502, 0x800000,   0x1000, 0x20, 64, 0
AT26DF161,   0x1F4600, 0x1000000,  0x1000, 0x20, 64, 0
AT26DF161A,  0x1F4601, 0x1000000,  0x1000, 0X20, 64, 0
AT25DF161,   0x1F4602, 0x1000000,  0x1000, 0x20, 64, 0
AT25DQ161,   0x1F8600, 0x1000000,  0x1000, 0x20, 64, 0
AT25DF321,   0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0
AT26DF321,   0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0
AT25DF321A,  0x1F4701, 0x2000000,  0x1000, 0x20, 64, 0
AT25DF641,   0x1F4800, 0x4000000,  0x1000, 0x20, 64, 0
AT25DF641A,  0x1F4800, 0x4000000,  0x1000, 0x20, 64, 0
AT25DQ641,   0x1F8800, 0x4000000,  0x1000, 0x20, 64, 0
SST25VF016B, 0xBF2541, 0x1000000,  0x1000, 0x20, 1, 0
SST25VF032B, 0XBF254A, 0x2000000,  0x1000, 0x20, 1, 0
SST25VF040B, 0xBF258D, 0x400000,   0x1000, 0x20, 1, 0
SST25VF080B, 0xBF258E, 0x800000,   0x1000, 0x20, 1, 0
SST25VF064C, 0xBF254B, 0x4000000,  0x1000, 0x20, 64, 0
EN25Q40,     0x1C3013, 0x400000,   0x1000, 0x20, 64, 0
EN25F80,     0x1C3114, 0x800000,   0x1000, 0x20, 64, 0
EN25Q80A,    0x1C3014, 0x800000,   0x1000, 0x20, 64, 0
EN25F16,     0x1C3115, 0x1000000,  0x1000, 0x20, 64, 0
EN25F32,     0x1C3116, 0x2000000,  0x1000, 0x20, 64, 0
EN25Q32B,    0x1C3016, 0x2000000,  0x1000, 0x20, 64, 0
EN25Q64,     0x1C3017, 0x4000000,  0x1000, 0x20, 64, 0
EN25Q128,    0x1C3018, 0x8000000,  0x1000, 0x20, 64, 0
EN25Q16(A),  0x1C3015, 0x1000000,  0x1000, 0x20, 64, 0
EN25QH16,    0x1C7015, 0x1000000,  0x1000, 0x20, 64, 0
EN25QH32,    0x1C7016, 0x2000000,  0x1000, 0x20, 64, 0
EN25QH256,   0x1C7019, 0x10000000, 0x1000, 0x20, 64, 0
EN25QH128,   0x1C7018, 0x8000000,  0x1000, 0x20, 64, 0
EN25QH64,    0x1C7017, 0x4000000,  0x1000, 0x20, 64, 0
EN25QH80,    0x1C7014, 0x800000,   0x1000, 0x20, 64, 0
EN25F64,     0x1C3117, 0x4000000,  0x1000, 0x20, 64, 0
;gigadevice
GD25Q80,     0xC84014, 0x800000,   0x1000, 0x20, 64, 0
GD25Q16,     0xC84015, 0x1000000,  0x1000, 0x20, 64, 0
GD25Q32,     0xC84016, 0x2000000,  0x1000, 0x20, 64, 0
GD25Q64,     0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25Q128,    0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
GD25B16B,    0xC84015, 0x1000000,  0x1000, 0x20, 64, 0
GD25B32B,    0xC84016, 0x2000000,  0x1000, 0x20, 64, 0
GD25B64B,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25B128C,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
GD25LQ64C,   0xC86017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R64B,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25B64C,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R64C,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R128C,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
;other
FM25Q16,     0xF83215, 0x1000000,  0x1000, 0x20, 64, 0
FM25Q32,     0xF83216, 0x2000000,  0x1000, 0x20, 64, 0
FM25Q64,     0xF83217, 0x4000000,  0x1000, 0x20, 64, 0
FM25Q128,    0xF83218, 0x8000000,  0x1000, 0x20, 64, 0
;spansion
S25FL132K,   0x014016, 0x2000000,  0x1000, 0x20, 64, 0
S25FL164K,   0x014017, 0x4000000,  0x1000, 0x20, 64, 0
S25FL116K,   0x014015, 0x1000000,  0x1000, 0x20, 64, 0
;other
A25L016,     0x373015, 0x1000000,  0x1000, 0x20, 64, 0
A25L032,     0x373016, 0x2000000,  0x1000, 0x20, 64, 0
A25LQ32A,    0x374016, 0x2000000,  0x1000, 0x20, 64, 0
Pm25LQ080C,  0x7F9D44, 0x800000,   0x1000, 0x20, 64, 0
Pm25LQ016C,  0x7F9D45, 0x1000000,  0x1000, 0x20, 64, 0
Pm25LQ032C,  0x7F9D46, 0x2000000,  0x1000, 0x20, 64, 0
Pm25LV080B,  0x7F9D13, 0x800000,   0x1000, 0x20, 64, 0
Pm25LV016B,  0x7F9D13, 0x1000000,  0x1000, 0x20, 64, 0
